location_code,cad_space,SF_art_count,article_capacity,date_recorded
BG0511,BABY,390,299.0,2024-12-13
BG0511,BOY 134-170,251,,2024-12-13
BG0511,BOY 92-140,314,314.0,2024-12-13
BG0511,BOY KIDS BASIC,151,141.0,2024-12-13
BG0511,BOY YOUNG BASIC,72,40.0,2024-12-13
BG0511,DIV. COLL.,505,354.0,2024-12-13
BG0511,DIV. GIRL BASICS+UNDERW.,160,,2024-12-13
BG0511,GIRL 134-170,365,,2024-12-13
BG0511,GIRL 92-140,372,253.0,2024-12-13
BG0511,GIRL KIDS BASIC,171,,2024-12-13
BG0511,GIRL YOUNG BASIC,97,68.0,2024-12-13
BG0511,MENS COLLECTION,493,485.0,2024-12-13
BG0511,MENS H&M BASIC,142,93.0,2024-12-13
BG0511,MENS SUIT,50,,2024-12-13
BG0511,WOM. BASIC JERSEY,159,100.0,2024-12-13
BG0511,WOM. MAMA,54,,2024-12-13
BG0511,WOMENSWEAR COLLECTION,886,787.0,2024-12-13
ES0001,BABY,370,370.0,2024-12-13
ES0001,BOY 134-170,79,79.0,2024-12-13
ES0001,BOY 92-140,208,208.0,2024-12-13
ES0001,BOY KIDS BASIC,96,96.0,2024-12-13
ES0001,BOY YOUNG BASIC,34,34.0,2024-12-13
ES0001,DIV. COLL.,272,272.0,2024-12-13
ES0001,DIV. GIRL BASICS+UNDERW.,12,,2024-12-13
ES0001,GIRL 134-170,100,100.0,2024-12-13
ES0001,GIRL 92-140,276,276.0,2024-12-13
ES0001,GIRL KIDS BASIC,124,124.0,2024-12-13
ES0001,GIRL YOUNG BASIC,36,36.0,2024-12-13
ES0001,MENS COLLECTION,293,293.0,2024-12-13
ES0001,MENS H&M BASIC,110,110.0,2024-12-13
ES0001,MENS SUIT,27,,2024-12-13
ES0001,WOM. BASIC JERSEY,82,82.0,2024-12-13
ES0001,WOM. MAMA,5,,2024-12-13
ES0001,WOMENSWEAR COLLECTION,636,854.0,2024-12-13
ES0036,BABY,443,370.0,2024-12-13
ES0036,BOY 134-170,92,92.0,2024-12-13
ES0036,BOY 92-140,241,241.0,2024-12-13
ES0036,BOY KIDS BASIC,109,109.0,2024-12-13
ES0036,BOY YOUNG BASIC,53,53.0,2024-12-13
ES0036,DIV. COLL.,302,302.0,2024-12-13
ES0036,DIV. GIRL BASICS+UNDERW.,107,107.0,2024-12-13
ES0036,GIRL 134-170,122,122.0,2024-12-13
ES0036,GIRL 92-140,234,234.0,2024-12-13
ES0036,GIRL KIDS BASIC,149,125.0,2024-12-13
ES0036,GIRL YOUNG BASIC,70,65.0,2024-12-13
ES0036,MENS COLLECTION,285,285.0,2024-12-13
ES0036,MENS H&M BASIC,115,115.0,2024-12-13
ES0036,MENS SUIT,55,,2024-12-13
ES0036,WOM. BASIC JERSEY,93,93.0,2024-12-13
ES0036,WOM. MAMA,5,5.0,2024-12-13
ES0036,WOMENSWEAR COLLECTION,616,616.0,2024-12-13
ES0137,BABY,218,218.0,2024-12-13
ES0137,BOY 134-170,55,55.0,2024-12-13
ES0137,BOY 92-140,114,114.0,2024-12-13
ES0137,BOY KIDS BASIC,43,43.0,2024-12-13
ES0137,DIV. COLL.,51,,2024-12-13
ES0137,DIV. GIRL BASICS+UNDERW.,15,,2024-12-13
ES0137,GIRL 134-170,68,68.0,2024-12-13
ES0137,GIRL 92-140,116,116.0,2024-12-13
ES0137,GIRL KIDS BASIC,36,36.0,2024-12-13
ES0137,MENS COLLECTION,209,209.0,2024-12-13
ES0137,MENS H&M BASIC,71,71.0,2024-12-13
ES0137,MENS SUIT,27,,2024-12-13
ES0137,WOM. BASIC JERSEY,88,82.0,2024-12-13
ES0137,WOM. MAMA,17,,2024-12-13
ES0137,WOMENSWEAR COLLECTION,601,601.0,2024-12-13
